Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
Ujjivan Small Finance Bank limited    , Graduation is mandatory Should have Relevant experience in Direct Sales in Crop Loan / ...,1-5 Yrs,Bank Jobs,Loan Officer - Rural Banking (Agri Product),"Vadodara, Ahmedabad, Anand,  Gujarat Other",6 Days Ago,"2,00,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Agri Finance</li><li class=""fleft fs12 grey-text lh16 dot"">KKC</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Loan Officer</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Crop Loan</li><li class=""fleft fs12 grey-text lh16 dot"">Rural Banking</li></ul>"
AU SMALL FINANCE BANK Limited , MBA / CA / Post Graduate .5 + years,5-8 Yrs,Bank Jobs,AU Small Finance Bank - Opening For Cluster Manager - Current Account,Pune,6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Cluster Management</li><li class=""fleft fs12 grey-text lh16 dot"">Current Account</li></ul>"
AU SMALL FINANCE BANK Limited ," 5 - 8 Yrs of experience in Branch Banking, Local - must have worked in the same city fo...",5-10 Yrs,Bank Jobs,Au Small Finance Bank : Urgent Opening For Branch Manager,"Baramati, Sangamner, Narayangaon",6 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
Axis Bank Limited, Single point relationship management for the HNI clients in the priority segment of the...,5-10 Yrs,Bank Jobs,Relationship Manager Priority Banking,"Madurai, Coimbatore",6 Days Ago,"5,00,000 - 8,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Customer Profitability</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Priority Banking</li><li class=""fleft fs12 grey-text lh16 dot"">HNI Client Handling</li><li class=""fleft fs12 grey-text lh16 dot"">Value Added Services</li></ul>"
INDUSIND BANK LIMITED , IndusInd Bank Job title: Key Account ManagerGrade Band: Junior/ Medium ManagementLocati...,2-6 Yrs,Bank Jobs,Indusind Bank - Key Account Manager Mumbai Location,"Mumbai Suburbs, Navi Mumbai, Mumbai",7 Days Ago,"3,50,000 - 6,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Branch Management</li><li class=""fleft fs12 grey-text lh16 dot"">Product Penetration</li><li class=""fleft fs12 grey-text lh16 dot"">Kam</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Third Party Products</li><li class=""fleft fs12 grey-text lh16 dot"">Key Account Management</li><li class=""fleft fs12 grey-text lh16 dot"">LI</li></ul>"
INDUSIND BANK LIMITED ," Dear Aspirants, Greetings from IndusInd Bank !!! Job Opportunity on rolls of the Bank f...",1-6 Yrs,Bank Jobs,Indusind Bank  Business Development Manager,"Varanasi, Dehradun, Lucknow, Kanpur, Agra, Meerut",9 Days Ago,"1,75,000 - more than 3,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Retail Business</li><li class=""fleft fs12 grey-text lh16 dot"">Business Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Area Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Relationship Management</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Lead Management</li></ul>"
RBL Bank Limited   , Good motivator and team management skillsShould have good understanding of technical re...,6-11 Yrs,Bank Jobs,Opening For National Technical Manager - RBL Bank Mumbai,Mumbai,12 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Business Opportunity</li><li class=""fleft fs12 grey-text lh16 dot"">Team Management Skills</li><li class=""fleft fs12 grey-text lh16 dot"">Market Survey</li><li class=""fleft fs12 grey-text lh16 dot"">Technical Evaluation</li><li class=""fleft fs12 grey-text lh16 dot"">TAT</li><li class=""fleft fs12 grey-text lh16 dot"">Real Estate</li><li class=""fleft fs12 grey-text lh16 dot"">Process Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Affordable Housing</li></ul>"
Leading Investment Banking Company," 3years of Investment Banking experienceGood relationships with investors, including HNI...",2-4 Yrs,Bank Jobs,Associates-Investment Banking @ Bangalore,Bengaluru,13 Days Ago,"6,00,000 - 9,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Client Management</li><li class=""fleft fs12 grey-text lh16 dot"">Financial Analysis</li><li class=""fleft fs12 grey-text lh16 dot"">Investment Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Business Modeling</li><li class=""fleft fs12 grey-text lh16 dot"">Fund Raising</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Data Management</li><li class=""fleft fs12 grey-text lh16 dot"">Management Skills</li></ul>"
AU SMALL FINANCE BANK Limited , Fresher / 1-2 years of experience in Field Sales (Liability / insurance sales preferred...,0-2 Yrs,Bank Jobs,Urgent Requirement For Bank Officer Branch Banking,"Ratlam, Shamgarh, Mandsaur, Neemuch, Alot",14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Life Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Retail Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed Deposits</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
AU SMALL FINANCE BANK Limited ," Minimum Graduate, Masters degree in a related field will be an added advantage preferab...",2-4 Yrs,Bank Jobs,Urgent Requirement For Relationship Officer Branch Banking,"Ratlam, Shamgarh, Neemuch",14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Retail Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Life Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed Deposits</li><li class=""fleft fs12 grey-text lh16 dot"">HNI Client Handling</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Banking</li></ul>"
AU SMALL FINANCE BANK Limited , Fresher / 1-2 years of experience in Field Sales (Liability / insurance sales preferred...,0-2 Yrs,Bank Jobs,Urgent Requirement For Bank Officer Business Account,"Bhopal, Biaora, Vidisha, Raisen, Betul, Ganj Basoda, Nasurllaganj, Baraily, Hoshangabad",14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Retail Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Casa</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Life Insurance</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed Deposits</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li></ul>"
AU SMALL FINANCE BANK Limited, Current CTC should not be lesser than 5 LPACandidate preferred from Banking Responsible...,4-6 Yrs,Bank Jobs,Branch Relationship Manager Branch Banking,"Nasik, Pune, Aurangabad",15 Days Ago,"5,00,000 - 6,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">insurance</li><li class=""fleft fs12 grey-text lh16 dot"">casa</li><li class=""fleft fs12 grey-text lh16 dot"">branch sales manager</li><li class=""fleft fs12 grey-text lh16 dot"">retail liabilities</li><li class=""fleft fs12 grey-text lh16 dot"">relationship management</li><li class=""fleft fs12 grey-text lh16 dot"">team handling</li><li class=""fleft fs12 grey-text lh16 dot"">sales strategy</li><li class=""fleft fs12 grey-text lh16 dot"">cross selling</li></ul>"
Ujjivan Small Finance Bank limited    , Freshers are welcome Should be able to communicate in local languagewith good communica...,0-5 Yrs,Bank Jobs,Ujjivan Bank is hiring Customer Relationship Officer For Parambuya,Parambuya,Today,"1,00,000 - 1,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Customer Relationship</li><li class=""fleft fs12 grey-text lh16 dot"">Communication Skills</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">group loan</li><li class=""fleft fs12 grey-text lh16 dot"">Banking</li><li class=""fleft fs12 grey-text lh16 dot"">Disbursement</li><li class=""fleft fs12 grey-text lh16 dot"">LI</li></ul>"
Ujjivan Small Finance Bank limited    , Any graduate with Minimum 1-2 years experience in handling cash at volumeShould have ex...,1-3 Yrs,Bank Jobs,Ujjivan Bank is hiring For Cashier/CCR For Takipur Location,Takipur,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Customer Service</li><li class=""fleft fs12 grey-text lh16 dot"">Branch Operations</li><li class=""fleft fs12 grey-text lh16 dot"">Banking Operations</li><li class=""fleft fs12 grey-text lh16 dot"">Cashier Activities</li><li class=""fleft fs12 grey-text lh16 dot"">Customer Service Operations</li></ul>"
Kotak Mahindra Bank Limited , Designation : Recovery ManagerGrade : M2/M3 : Deputy Manager / ManagerSalary : 5 to 9 L...,5-10 Yrs,Bank Jobs,Kotak Bank : Recovery Managers (Secured Hard Bucket) : Sal upto 9 LPA,"Pune, Indore, Ahmedabad, Kolkata, Jaipur",1 Day Ago,"5,00,000 - 9,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Arbitration</li><li class=""fleft fs12 grey-text lh16 dot"">Secured Loan</li><li class=""fleft fs12 grey-text lh16 dot"">Hard Bucket</li><li class=""fleft fs12 grey-text lh16 dot"">Debt Collection</li><li class=""fleft fs12 grey-text lh16 dot"">Loan Recovery</li><li class=""fleft fs12 grey-text lh16 dot"">Recovery Management</li><li class=""fleft fs12 grey-text lh16 dot"">Recovery</li><li class=""fleft fs12 grey-text lh16 dot"">Mortgage Collections</li></ul>"
Seven Consultancy," 1) Map the training programs for different partners NGOs, Government and Hospitals. 2) ...",2-5 Yrs,Consultant Jobs,Program & Training Officer,Hyderabad,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Training</li><li class=""fleft fs12 grey-text lh16 dot"">Data analysis</li><li class=""fleft fs12 grey-text lh16 dot"">Manager Program Management</li><li class=""fleft fs12 grey-text lh16 dot"">Manager Project Management</li><li class=""fleft fs12 grey-text lh16 dot"">Project planning</li><li class=""fleft fs12 grey-text lh16 dot"">Public health</li><li class=""fleft fs12 grey-text lh16 dot"">Recruitment</li></ul>"
Orient Bell Limited, Graduates with excellent written communication skillsGraduates / Post-Graduates from Ar...,0-5 Yrs,Consultant Jobs,Are You an architect/interior designer who loves writing stories?,Delhi,23 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Construction</li><li class=""fleft fs12 grey-text lh16 dot"">Content Marketing</li><li class=""fleft fs12 grey-text lh16 dot"">Social Media Marketing</li><li class=""fleft fs12 grey-text lh16 dot"">Story Writing</li><li class=""fleft fs12 grey-text lh16 dot"">Interior Designing</li></ul>"
Godawari Industrial Traders, Should have sound knowledge of English language required for correspondence with client...,2-7 Yrs,Consultant Jobs,Techno Commercial Engineer,"Pune, Solapur, Hyderabad",15 Days Ago,"4,00,000 - 6,00,000 PA. (Including Variable: 75.0%)",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Commercial</li><li class=""fleft fs12 grey-text lh16 dot"">Internal Control</li><li class=""fleft fs12 grey-text lh16 dot"">Project Management</li><li class=""fleft fs12 grey-text lh16 dot"">Contract Management</li><li class=""fleft fs12 grey-text lh16 dot"">Quality Management</li></ul>"
Seven Consultancy," JOB DETAILS 1) Planning, implementation & monitoring of comprehensive Industrial Hygien...",4-6 Yrs,Consultant Jobs,Industrial Hygiene Manager,Hyderabad,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Training</li><li class=""fleft fs12 grey-text lh16 dot"">Networking</li><li class=""fleft fs12 grey-text lh16 dot"">Legal compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Management systems</li><li class=""fleft fs12 grey-text lh16 dot"">Consulting</li><li class=""fleft fs12 grey-text lh16 dot"">Industrial hygiene</li><li class=""fleft fs12 grey-text lh16 dot"">Deployment</li><li class=""fleft fs12 grey-text lh16 dot"">Technical support</li></ul>"
Seven Consultancy, 7: Hygiene Recruitment Agencies in Bangalore | Hygiene Placement Agencies in Bangalore ...,3-5 Yrs,Consultant Jobs,Industrial Hygiene Officer,Bengaluru,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Training</li><li class=""fleft fs12 grey-text lh16 dot"">Networking</li><li class=""fleft fs12 grey-text lh16 dot"">Legal compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Management systems</li><li class=""fleft fs12 grey-text lh16 dot"">Consulting</li><li class=""fleft fs12 grey-text lh16 dot"">Industrial hygiene</li><li class=""fleft fs12 grey-text lh16 dot"">Deployment</li><li class=""fleft fs12 grey-text lh16 dot"">Technical support</li></ul>"
Talent  Corner HR Services Pvt Ltd, Analyse CV and recommend possible option to migrate to Canada / Australia Recommend Stu...,2-3 Yrs,Consultant Jobs,Student Visa Counsellor,Mumbai,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Australia</li><li class=""fleft fs12 grey-text lh16 dot"">Computer Skills</li></ul>"
Shivam Knowledge Solutions Private Limited  , This is a freelance / WFH opportunity - Must have knowledge of Corporate Training Indus...,5-10 Yrs,Consultant Jobs,Consultant - Corporate Training,"Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",4 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">work from home</li><li class=""fleft fs12 grey-text lh16 dot"">Freelance Corporate Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Traning Need Analysis</li><li class=""fleft fs12 grey-text lh16 dot"">Lead Generation</li><li class=""fleft fs12 grey-text lh16 dot"">Corporate Training</li><li class=""fleft fs12 grey-text lh16 dot"">Business Development</li><li class=""fleft fs12 grey-text lh16 dot"">Freelance Business Developer</li><li class=""fleft fs12 grey-text lh16 dot"">Corporate Sales</li></ul>"
Litt Mocktails, Join & run the organization as a co-owner. 1. Launch our unique range of ready-to-drink...,15-25 Yrs,Consultant Jobs,Co Founder & Ceo / Enterpreneur,"Mumbai, Ahmedabad, Bengaluru",30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">modern trade</li><li class=""fleft fs12 grey-text lh16 dot"">co founder &amp; ceo</li><li class=""fleft fs12 grey-text lh16 dot"">horeca sales</li><li class=""fleft fs12 grey-text lh16 dot"">co founder &amp; chief operating officer</li><li class=""fleft fs12 grey-text lh16 dot"">startup</li><li class=""fleft fs12 grey-text lh16 dot"">director business development</li><li class=""fleft fs12 grey-text lh16 dot"">co founder</li><li class=""fleft fs12 grey-text lh16 dot"">co founder &amp; coo</li></ul>"
Yogam BPO, It will not only be a good career for trained moms to be in this field but also will he...,0-5 Yrs,Consultant Jobs,Wanted Married Female For Medical Transcription Online Certification,"Hosur, Karur, Kanchipuram, Nagercoil, Madurai, Cuddalore, Coimbatore, Kalpakkam, Erode",10 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">insurance</li><li class=""fleft fs12 grey-text lh16 dot"">online marketing executive</li><li class=""fleft fs12 grey-text lh16 dot"">home maker</li><li class=""fleft fs12 grey-text lh16 dot"">icd - 10</li><li class=""fleft fs12 grey-text lh16 dot"">general transcription</li><li class=""fleft fs12 grey-text lh16 dot"">it consulting</li><li class=""fleft fs12 grey-text lh16 dot"">online tutor</li><li class=""fleft fs12 grey-text lh16 dot"">dubai</li></ul>"
